"Config","Variance","Benchmarks","Missing"
"IB:HDD:12: 50:1: 32768:None:128:Local 1",1724344.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:ZLIB:128:Azure L",1724329.76666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2: 8: 10:3: 65536:BZIP2: 32:Azure L",1724029.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:ZLIB: 64:Azure L",1715763.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1: 32768:None: 64:Local 1",1713115.76666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:BZIP2: 64:Azure L",1711946.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:Snappy: 64:Azure L",1709682.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:None: 32:Azure L",1699933.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:Snappy: 64:Azure L",1697813.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:ZLIB: 64:Azure L",1696721.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:ZLIB: 32:Azure L",1696270.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:None:256:Azure L",1695439.86666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:3: 65536:None: 32:Azure L",1688792.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:ZLIB: 32:Azure L",1681395.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:Snappy:128:Azure L",1676482.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:ZLIB: 64:Azure L",1672470.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 32768:None:256:Local 1",1662072.96666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:ZLIB: 64:Azure L",1660433.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:None: 64:Azure L",1656375.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:None: 64:Azure L",1654213.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:None:256:Azure L",1653562.26666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1: 8: 10:3: 65536:None: 32:Azure L",1652813.80952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:BZIP2: 64:Azure L",1646891.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:Snappy: 32:Azure L",1646483.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:BZIP2:256:Azure L",1641429.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:ZLIB:128:Azure L",1635347.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3: 32768:None: 64:Local 1",1628731.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:24: 10:2: 65536:None: 64:Local 1",1628040.26666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:3: 65536:None: 32:Local 1",1618538,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:BZIP2:256:Azure L",1610914.26666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:3: 65536:BZIP2: 64:Azure L",1609488.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:ZLIB: 64:Azure L",1605127.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:Snappy:256:Azure L",1605056.16666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
