"Config","Variance","Benchmarks","Missing"
"IB:SSD:12:  5:3:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:12:  5:3: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:12:  5:3: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:12:  5:3: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24:100:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24:100:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1:  1024:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1:131072:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1: 16384:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1:262144:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1: 32768:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 10:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24:  1:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 25:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24: 50:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:24:  5:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:SSD:32: 10:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
