"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
21975,2944,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
21974,2886,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
21972,1295,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
21971,2529,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
21970,2724,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21969,2815,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21968,2870,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21966,1278,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21965,2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21964,2536,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
21963,3161,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
21962,2923,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
21960,1286,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
21959,2742,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
21958,2557,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21957,3195,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21956,2862,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21954,1268,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21953,2588,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
21952,2699,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
21951,2756,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
21950,2902,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
21948,1402,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
21947,2577,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
21946,2352,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
21945,3001,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
21944,2917,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
21942,1300,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
21941,2538,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
21940,2596,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21939,2972,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21938,2853,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21936,1277,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21935,2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21934,2695,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
21933,3247,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
21932,2892,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
21930,1283,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
21929,2745,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
21928,2770,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21927,2954,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21926,2967,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21924,1271,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21923,2583,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
21922,2513,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
21921,2914,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
21920,2820,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
21918,1394,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
21917,2590,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
21916,2732,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
21915,2962,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
21914,2892,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
21912,1300,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
21911,2546,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
21910,2680,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21909,3082,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21908,2889,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21906,1274,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21905,2600,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21904,2505,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
21903,2915,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
21902,2871,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
21900,1283,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
21899,2740,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
21898,2590,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21897,2953,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21896,2969,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21894,1271,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21893,2570,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
21892,2552,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
21891,2668,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
21890,2836,"pagerank","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
21888,1400,"wordcount","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
21887,2626,"kmeans","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
21886,2600,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
21885,3003,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
21884,2851,"pagerank","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
21882,1294,"wordcount","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
21881,2533,"kmeans","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
21880,2667,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21879,2770,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21878,2869,"pagerank","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21876,1270,"wordcount","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21875,2588,"kmeans","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21874,2587,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
21873,2883,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
21872,2891,"pagerank","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
21870,1276,"wordcount","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
21869,2721,"kmeans","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
21868,2670,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21867,3238,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21866,2935,"pagerank","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
21864,1271,"wordcount","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
