ID,Benchmark,Exe.Time,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,Cl.Name,Datanodes,Headnodes,VM.OS,VM.Cores,VM.RAM,Provider,VM.Size,Service.Type,Bench.Type
81236,prep_terasort,330.000,ETH,HDD,12,15,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81237,terasort,1060.000,ETH,HDD,12,15,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81238,prep_terasort,105.000,ETH,RR3,6,11,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81239,terasort,451.000,ETH,RR3,6,11,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81240,prep_terasort,102.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81241,terasort,429.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81242,prep_terasort,470.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81244,prep_terasort,543.000,ETH,HDD,12,18,3,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81245,terasort,1448.000,ETH,HDD,12,18,3,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81246,prep_terasort,102.000,ETH,RR3,14,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81247,terasort,452.000,ETH,RR3,14,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81248,prep_terasort,102.000,ETH,RR2,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81249,terasort,578.000,ETH,RR2,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81250,prep_terasort,413.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81251,terasort,2002.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81252,prep_terasort,341.000,ETH,HDD,8,15,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81253,prep_terasort,102.000,ETH,RR3,7,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81254,terasort,451.000,ETH,RR3,7,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81255,prep_terasort,102.000,ETH,RR3,7,11,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81256,terasort,444.000,ETH,RR3,7,11,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81257,prep_terasort,102.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81258,terasort,449.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81259,prep_terasort,329.000,ETH,HDD,5,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81260,prep_terasort,102.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81261,terasort,445.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81262,prep_terasort,350.000,ETH,HDD,5,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81263,terasort,1074.000,ETH,HDD,5,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81264,prep_terasort,105.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81265,terasort,451.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81266,prep_terasort,417.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81267,terasort,2065.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81268,prep_terasort,105.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81269,terasort,459.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
